circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0085,16,6601.953208857552,20,2.7688,2.7688113038189592,2.75,0.01880000000000015,0.018811303818959235,1.1303818959085277e-05,6.52811138479592e-14,True,False,16,0
CKT_0086,19,34827.468309445016,24,4.6575,4.657465733517879,4.65,0.007499999999999396,0.00746573351787827,3.426648212112582e-05,1.2683187833317788e-12,True,False,19,0
CKT_0087,20,57789.73634054631,24,20.0725,20.07245473047863,20.05,0.022500000000000853,0.02245473047862845,4.526952137240414e-05,7.851497230149107e-13,True,False,20,0
CKT_0088,21,16963.541947209567,25,4.9738,4.973768188861343,4.95,0.0237999999999996,0.02376818886134302,3.181113865657892e-05,1.1546319456101628e-14,True,False,21,0
CKT_0089,11,5688.197095563079,8,3.4927,3.4926810830415107,3.5,0.007299999999999862,0.007318916958489297,1.891695848943442e-05,4.440892098500626e-16,True,False,11,0
CKT_0090,13,6503.338047518892,10,4.9572,4.957221250265617,4.95,0.007200000000000095,0.007221250265616597,2.125026561650145e-05,1.9539925233402755e-14,True,False,13,0
CKT_0091,12,4389.5114738131515,8,13.3976,13.397558552907583,13.4,0.0023999999999997357,0.002441447092417448,4.1447092417712383e-05,8.881784197001252e-15,True,False,12,0
CKT_0092,13,2737.353073414059,10,15.0485,15.048523749528865,15.05,0.0015000000000000568,0.0014762504711356428,2.374952886441406e-05,0.0,True,False,13,0
CKT_0093,13,90321.25326350564,8,10.8352,10.83519600345364,10.85,0.014799999999999258,0.014803996546358889,3.996546359630315e-06,1.5987211554602254e-13,True,False,13,0
CKT_0094,6,8.868054453144062,6,4.1475,4.147471142007391,4.15,0.002500000000000391,0.002528857992609268,2.8857992608877225e-05,8.881784197001252e-16,True,False,6,0
CKT_0095,5,nan,6,1.8,1.8,1.8,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0096,5,192.06888037247316,6,11.3191,11.319118400656977,11.3,0.019099999999999895,0.019118400656976675,1.8400656976780283e-05,1.4210854715202004e-14,True,False,5,0
CKT_0097,7,384.2313888263681,6,4.2758,4.275825471198008,4.3,0.024199999999999555,0.02417452880199189,2.5471198007664952e-05,0.0,True,False,7,0
CKT_0098,4,11330.496684089178,6,9.202,9.201960132405507,9.2,0.002000000000000668,0.0019601324055074087,3.986759449325916e-05,1.7763568394002505e-15,True,False,4,0
