circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0132,Hard,49,44,5,48,8.0000,8.0000,8.0000,7.9791,0.0209,PASS,234,205.09,13.63,4,456,built,PASS,
CKT_0133,Hard,50,44,6,49,7.0000,7.0000,7.0000,6.976,0.0240,PASS,236,290.83,11.57,4,566,built,PASS,
CKT_0134,Hard,29,24,5,14,12.0000,12.0000,12.0000,11.995,0.0050,PASS,134,25.74,3.45,4,264,built,PASS,
CKT_0135,Hard,31,25,6,16,14.9500,14.9500,14.9500,14.9694,0.0194,PASS,141,28.51,5.14,4,278,built,PASS,
CKT_0136,Hard,29,24,5,14,11.3000,11.3000,11.3000,11.3129,0.0129,PASS,134,25.74,2.94,4,264,built,PASS,
CKT_0137,Hard,31,25,6,16,1.8500,1.8500,1.8500,1.8463,0.0037,PASS,141,26.94,3.69,4,278,built,PASS,
CKT_0138,Hard,29,23,6,14,11.7000,11.7000,11.7000,11.7056,0.0056,PASS,131,27.00,3.04,4,260,built,PASS,
CKT_0139,Hard,15,10,5,8,3.3000,3.3000,3.3000,3.3,0.0000,PASS,64,12.45,1.29,4,130,built,PASS,
CKT_0140,Hard,16,10,6,9,15.0000,15.0000,15.0000,14.9813,0.0187,PASS,66,15.13,1.17,4,134,built,PASS,
CKT_0141,Hard,15,9,6,8,4.0500,4.0500,4.0500,4.0347,0.0153,PASS,61,11.65,1.65,4,124,built,PASS,
CKT_0142,Hard,16,10,6,9,1.9000,1.9000,1.9000,1.9138,0.0138,PASS,66,13.90,1.68,4,134,built,PASS,
CKT_0143,Hard,15,9,6,8,1.8500,1.8500,1.8500,1.83,0.0200,PASS,61,11.41,1.35,4,124,built,PASS,
CKT_0144,Hard,22,17,5,11,9.3000,9.3000,9.3000,9.281,0.0190,PASS,99,23.50,2.60,4,196,built,PASS,
CKT_0145,Hard,22,16,6,11,7.7000,7.7000,7.7000,7.6912,0.0088,PASS,96,18.83,1.15,4,192,built,PASS,
CKT_0146,Hard,22,17,5,11,6.7500,6.7500,6.7500,6.7647,0.0147,PASS,99,25.70,2.20,4,196,built,PASS,
CKT_0147,Hard,22,17,5,11,5.2500,5.2500,5.2500,5.227,0.0230,PASS,99,21.29,1.81,4,196,built,PASS,
CKT_0148,Hard,22,17,5,11,8.9500,8.9500,8.9500,8.9632,0.0132,PASS,99,22.85,1.58,4,196,built,PASS,
CKT_0149,Hard,10,6,4,5,2.0000,2.0000,2.0000,1.9826,0.0174,PASS,42,7.21,1.04,4,86,built,PASS,
CKT_0150,Hard,10,5,5,5,9.0000,9.0000,9.0000,8.9991,0.0009,PASS,39,4.83,0.70,4,82,built,PASS,
CKT_0151,Hard,14,9,5,7,15.0000,15.0000,15.0000,15.0,0.0000,PASS,59,11.32,0.84,4,120,built,PASS,
CKT_0152,Hard,14,8,6,7,3.6000,3.6000,3.6000,3.5907,0.0093,PASS,56,9.63,0.92,4,116,built,PASS,
CKT_0153,Hard,18,13,5,9,3.4500,3.4500,3.4500,3.4371,0.0129,PASS,79,20.35,1.50,4,158,built,PASS,
CKT_0154,Hard,22,16,6,11,13.3000,13.3500,13.3500,13.3355,0.0355,PASS,96,22.23,0.54,4,192,built,PASS,
