circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0140,Hard,16,10,6,2.4993,2.674,0.444,0.954,36,3,118,280840,4,48,100608,15.0,14.9813,0.0187,PASS,PASS,OK,
CKT_0141,Hard,15,9,6,2.379,2.3544,0.4156,0.2893,34,3,106,226840,4,48,100608,4.05,4.0347,0.0153,PASS,PASS,OK,
CKT_0142,Hard,16,10,6,2.5083,2.4322,0.4162,0.246,36,3,118,280840,4,48,100608,1.9,1.9138,0.0138,PASS,PASS,OK,
CKT_0143,Hard,15,9,6,2.3197,2.3135,0.4596,0.2314,34,3,106,226840,4,48,100608,1.85,1.83,0.02,PASS,PASS,OK,
CKT_0144,Hard,22,17,5,3.3011,3.0132,0.4113,0.8437,48,3,202,820120,4,48,100608,9.3,9.281,0.019,PASS,PASS,OK,
CKT_0145,Hard,22,16,6,2.9589,2.8071,0.4274,0.3448,48,3,190,725800,4,48,100608,7.7,7.6912,0.0088,PASS,PASS,OK,
CKT_0146,Hard,22,17,5,3.3336,2.9559,0.4791,0.6249,48,3,202,820120,4,48,100608,6.75,6.7647,0.0147,PASS,PASS,OK,
CKT_0147,Hard,22,17,5,3.3004,3.0935,0.4303,0.7406,48,3,202,820120,4,48,100608,5.25,5.227,0.023,PASS,PASS,OK,
CKT_0148,Hard,22,17,5,3.3233,3.0655,0.4226,0.3541,48,3,202,820120,4,48,100608,8.95,8.9632,0.0132,PASS,PASS,OK,
CKT_0149,Hard,10,6,4,2.1232,2.2651,0.4247,0.2389,24,3,70,99400,4,48,100608,2.0,1.9826,0.0174,PASS,PASS,OK,
CKT_0150,Hard,10,5,5,2.1015,2.2758,0.4662,0.2093,24,3,58,68440,4,48,100608,9.0,8.9991,0.0009,PASS,PASS,OK,
CKT_0151,Hard,14,9,5,2.3923,2.3338,0.4226,0.1798,32,3,106,226840,4,48,100608,15.0,15.0,0.0,PASS,PASS,OK,
CKT_0152,Hard,14,8,6,2.2381,2.4573,0.5755,0.3759,32,3,94,178600,4,48,100608,3.6,3.5907,0.0093,PASS,PASS,OK,
CKT_0153,Hard,18,13,5,2.6146,2.5976,0.4184,0.2131,40,3,154,477400,4,48,100608,3.45,3.4371,0.0129,PASS,PASS,OK,
CKT_0154,Hard,22,16,6,2.9436,2.7743,0.4582,0.2908,48,3,190,725800,4,48,100608,13.3,13.3355,0.0355,PASS,PASS,OK,
